 	Area	Perim.
1322	868	414.926
1323	5	7.071
1324	7	11.314
1325	8	10.485
1326	5	11.314
1327	9	17.556
1328	135	66.569
1329	4	10.485
1330	12	23.213
1331	333	162.208
1332	12	25.213
1333	4	7.657
1334	4	9.899
1335	4	9.071
1336	4	10.485
1337	22	40.284
1338	4	7.071
1339	5	11.071
1340	4	9.071
1341	8	15.314
1342	8	13.899
1343	8	14.485
1344	7	13.899
1345	5	11.071
1346	7	14.728
1347	13	26.142
1348	5	12.485
1349	10	14.485
1350	9	14.728
1351	41	57.255
1352	6	15.556
1353	5	9.071
1354	4	7.657
1355	5	10.485
1356	8	16.142
1357	6	13.314
1358	8	15.314
1359	14	33.698
1360	4	8.243
1361	4	8.485
1362	4	5.657
1363	4	11.314
1364	10879	2763.019
1365	5	10.485
1366	5	12.485
1367	6	14.728
1368	4	9.071
1369	3321	906.320
1370	7	11.071
1371	5	9.899
1372	13	18.142
1373	6	10.485
1374	5	8.485
1375	11	25.213
1376	11	26.042
1377	6	11.314
1378	26	43.355
1379	9	20.142
1380	4	8.485
1381	6	16.142
1382	4	8.485
1383	6	14.142
1384	4	7.657
1385	23	39.698
1386	20	45.941
1387	11	17.556
1388	23	32.042
1389	24	40.870
1390	8	18.971
1391	19	18.142
1392	19	22.385
1393	4	7.657
1394	24	44.184
1395	5	9.899
1396	20	34.870
1397	4	8.485
1398	49	80.811
1399	5	7.071
1400	24	37.113
1401	6	14.142
1402	10	23.213
1403	29	43.113
1404	6	14.728
1405	7	14.485
1406	7	18.971
1407	1920	1225.967
1408	4	9.071
1409	131	116.995
1410	4	7.657
1411	4	8.485
1412	8	16.728
1413	5	10.485
1414	10	20.385
1415	5	9.899
1416	9	13.899
1417	4	11.314
1418	9	17.556
1419	6	15.314
1420	4	8.485
1421	4	9.899
1422	4	8.485
1423	6238	1896.924
1424	23	39.113
1425	20	37.698
1426	4	9.899
1427	9	21.213
1428	4	7.071
1429	5	8.485
1430	4	11.314
1431	5	9.657
1432	7	13.314
1433	7	14.142
1434	5	9.071
1435	5	9.657
1436	5	7.071
1437	5	11.899
1438	4	9.899
1439	5	12.728
1440	7	14.728
1441	16	26.627
1442	4	11.314
1443	6	10.485
1444	5	10.485
1445	4	8.485
1446	4	7.657
1447	6	16.142
1448	31	52.426
1449	9	19.314
1450	5	13.314
1451	7	12.485
1452	4	7.071
1453	5	10.485
1454	53	53.841
1455	4	9.657
1456	16	35.698
1457	50	47.113
1458	4	5.657
1459	4	8.485
1460	5	10.485
1461	244	242.676
1462	5	11.899
1463	36	61.740
1464	4	8.485
1465	4	9.071
1466	7	11.899
1467	4	7.657
1468	39	62.083
1469	4	5.657
1470	6	14.142
1471	13	25.799
1472	4	9.899
1473	6	12.485
1474	8	14.728
1475	5	9.899
1476	5	11.071
1477	5	13.314
1478	10	17.556
1479	33	51.012
1480	4	9.899
1481	8	20.385
1482	13	20.971
1483	5	9.899
1484	5	12.728
1485	4	9.657
1486	7	13.899
1487	6	12.485
1488	47	62.912
1489	12	20.971
1490	6	11.657
1491	799	603.318
1492	4	8.485
1493	4	11.314
1494	200	238.434
1495	10	17.556
1496	4	11.314
1497	5	9.899
1498	13	22.971
1499	8	15.556
1500	4	9.899
1501	26	36.284
1502	11	21.799
1503	4	9.657
1504	4	10.485
1505	10	16.971
1506	15	33.113
1507	27	30.627
1508	4	7.071
1509	149	183.321
1510	4	10.485
1511	5	13.314
1512	28	53.255
1513	52	81.054
1514	34	40.527
1515	4	7.071
1516	6	11.899
1517	6	13.314
1518	4	10.485
1519	10	19.556
1520	3483	1002.545
1521	9	17.899
1522	166	148.451
1523	8	16.728
1524	5	11.314
1525	6	10.485
1526	7	14.142
1527	11	20.385
1528	4	8.485
1529	1743	1011.759
1530	253	229.948
1531	8	13.314
1532	51	92.711
1533	4	5.657
1534	18	31.113
1535	11	25.456
1536	4605	1202.670
1537	14	24.385
1538	14	29.456
1539	10	21.799
1540	6	15.314
1541	4	9.899
1542	6	12.728
1543	17	22.971
1544	17	25.213
1545	4	9.071
1546	5	10.485
1547	12	23.799
1548	4	7.657
1549	5	11.314
1550	32	46.527
1551	5	7.657
1552	5	13.314
1553	14	30.042
1554	338	251.889
1555	6	12.485
1556	5	13.314
1557	9	19.799
1558	13	25.213
1559	4	8.485
1560	4	8.485
1561	12	25.213
1562	19	32.870
1563	12	23.799
1564	71	86.811
1565	19	28.042
1566	4	9.071
1567	9	19.556
1568	4	8.485
1569	4	5.657
1570	7	14.728
1571	8	16.728
1572	7	16.142
1573	8	15.556
1574	22	26.042
1575	5	9.899
1576	4	7.071
1577	6	14.142
1578	8	14.142
1579	8	13.314
1580	5	13.314
1581	5	13.314
1582	5	12.485
1583	4	7.657
1584	41	67.740
1585	6	12.728
1586	12	23.799
1587	1274	393.955
1588	4	8.485
1589	9	13.314
1590	4	9.899
1591	4	8.485
1592	4	8.485
1593	4	8.828
1594	4	11.314
1595	416	299.103
