
Os valores de area e perimetro (em pixels) sao(foram ORDENADOS):


        AREA(pixel2)    PERIMETRO(pixel)
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   8              16.142
                   9              16.142
                   9              16.142
                   9              16.485
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.728
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              16.971
                   9              17.314
                   9              17.314
                   9              17.314
                   9              17.314
                   9              17.314
                   9              17.314
                   9              17.314
                   9              17.314
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.556
                   9              17.899
                   9              17.899
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                   9              18.142
                  10              18.142
                  10              18.142
                  10              18.142
                  10              18.142
                  10              18.142
                  10              18.142
                  10              18.385
                  10              18.385
                  10              18.385
                  10              18.385
                  10              18.728
                  10              18.728
                  10              18.728
                  10              18.728
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              18.971
                  10              19.314
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.556
                  10              19.799
                  10              19.799
                  10              19.799
                  10              19.799
                  10              19.899
                  10              20.142
                  11              20.142
                  11              20.142
                  11              20.142
                  11              20.142
                  11              20.142
                  11              20.142
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.385
                  11              20.728
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              20.971
                  11              21.213
                  11              21.213
                  11              21.213
                  11              21.213
                  11              21.556
                  11              21.556
                  11              21.556
                  11              21.556
                  11              21.556
                  11              21.556
                  11              21.556
                  11              21.799
                  11              21.799
                  11              21.799
                  11              21.799
                  11              21.799
                  11              21.799
                  12              21.799
                  12              21.799
                  12              21.799
                  12              21.799
                  12              21.799
                  12              21.799
                  12              21.799
                  12              21.799
                  12              22.142
                  12              22.142
                  12              22.142
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.385
                  12              22.971
                  12              22.971
                  12              22.971
                  12              22.971
                  12              22.971
                  12              23.213
                  12              23.213
                  12              23.213
                  12              23.213
                  12              23.213
                  12              23.213
                  12              23.213
                  12              23.213
                  12              23.314
                  12              23.799
                  12              23.799
                  12              23.799
                  12              23.799
                  12              23.799
                  12              23.799
                  13              23.799
                  13              23.799
                  13              24.042
                  13              24.142
                  13              24.385
                  13              24.385
                  13              24.385
                  13              24.385
                  13              24.385
                  13              24.627
                  13              24.627
                  13              24.627
                  13              24.627
                  13              24.627
                  13              24.627
                  13              24.627
                  13              24.627
                  13              24.971
                  13              24.971
                  13              24.971
                  13              24.971
                  13              24.971
                  13              25.213
                  13              25.213
                  13              25.213
                  13              25.213
                  13              25.213
                  13              25.213
                  14              25.213
                  14              25.213
                  14              25.213
                  14              25.213
                  14              25.456
                  14              25.456
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  14              25.799
                  15              26.042
                  15              26.042
                  15              26.042
                  15              26.042
                  15              26.042
                  15              26.042
                  15              26.142
                  15              26.385
                  15              26.627
                  15              26.627
                  15              26.627
                  15              26.627
                  15              26.627
                  15              26.627
                  15              26.627
                  15               26.87
                  15               26.87
                  15              26.971
                  15              26.971
                  15              26.971
                  16              27.213
                  16              27.213
                  16              27.213
                  16              27.456
                  16              27.456
                  16              27.456
                  16              27.456
                  16              27.799
                  16              27.799
                  16              27.799
                  16              27.799
                  16              27.799
                  16              28.042
                  16              28.042
                  16              28.042
                  16              28.042
                  16              28.042
                  17              28.042
                  17              28.385
                  17              28.627
                  17              28.627
                  17              28.627
                  17              28.627
                  17              28.627
                  17              28.627
                  17              28.627
                  17              28.627
                  17              28.627
                  18               28.87
                  18               28.87
                  18              29.456
                  18              29.456
                  18              29.456
                  18              29.456
                  18              29.456
                  18              29.698
                  18              30.042
                  18              30.284
                  18              30.284
                  18              30.627
                  19              30.627
                  19              30.627
                  19               30.87
                  19               30.87
                  19              31.113
                  19              31.456
                  19              32.042
                  19              32.042
                  19              32.042
                  19              32.042
                  19              32.042
                  19              32.042
                  19              32.284
                  19              32.284
                  19              32.627
                  19               32.87
                  20               32.87
                  20               32.87
                  20               32.87
                  20               32.87
                  20              33.113
                  20              33.113
                  20              33.456
                  20              33.456
                  20              33.456
                  20              33.698
                  20              33.698
                  20              34.284
                  21              34.284
                  21               34.87
                  21               34.87
                  21              35.113
                  21              35.113
                  22              35.456
                  22              35.698
                  22              35.698
                  22              36.042
                  22              36.284
                  22              36.284
                  23              36.284
                  23              36.284
                  23              36.284
                  23              36.527
                  23              36.527
                  23              36.527
                  23              36.527
                  23               36.87
                  23              37.113
                  24              37.698
                  24              37.698
                  24              37.698
                  24              37.941
                  24              37.941
                  24              39.113
                  24              39.113
                  24              39.113
                  24              39.113
                  24              39.113
                  24              39.355
                  25              39.698
                  25              39.698
                  25              39.698
                  25              39.941
                  25              40.284
                  25              40.284
                  26              40.527
                  26              40.527
                  26              40.527
                  26              40.527
                  26              40.527
                  26               40.87
                  27              41.113
                  27              41.941
                  27              42.184
                  27              42.527
                  27              42.527
                  27              42.527
                  28              42.527
                  28              43.113
                  28              43.113
                  28              43.355
                  28              43.598
                  28              43.941
                  28              44.184
                  28              44.426
                  29              45.355
                  29              45.598
                  29              45.941
                  29              46.184
                  29              46.426
                  30              46.527
                  30              47.113
                  30              47.841
                  30              48.184
                  30              48.527
                  31               48.77
                  31              49.012
                  31              49.012
                  31              49.255
                  31              49.941
                  32              50.426
                  32               50.77
                  33               50.77
                  33              51.012
                  33              51.012
                  33              51.012
                  33              51.255
                  33              51.355
                  33              51.698
                  34              52.426
                  34              52.426
                  34              52.669
                  34              52.669
                  34              53.012
                  34              53.255
                  34              53.255
                  35              53.497
                  35              53.497
                  36              53.598
                  36              53.841
                  36              53.841
                  36              54.426
                  36              55.012
                  36              55.255
                  37              55.841
                  37              56.083
                  38              56.912
                  38              57.255
                  39              57.497
                  40              58.083
                  40              59.255
                  41              59.497
                  41              59.841
                  41              60.083
                  41              60.912
                  41               61.74
                  41              61.841
                  42              62.083
                  42              62.083
                  44              62.669
                  45              62.912
                  46              63.154
                  46              64.569
                  46              64.912
                  47              65.497
                  48               65.74
                  49              66.326
                  49              66.569
                  49              66.569
                  49              66.912
                  49               67.64
                  50               67.74
                  51               69.74
                  51              69.983
                  51              70.569
                  52               71.74
                  52               71.74
                  53              71.983
                  53              72.225
                  55              72.569
                  56               73.64
                  58              74.225
                  58              75.983
                  58              76.468
                  60               77.64
                  61              77.983
                  65              77.983
                  65              80.225
                  66              80.811
                  66              81.054
                  66              81.054
                  67              81.882
                  67              82.125
                  68              83.882
                  68              86.125
                  69              86.225
                  71              86.811
                  72              87.882
                  72              88.468
                  73              92.368
                  74               92.61
                  78              92.711
                  83              93.539
                  87               94.61
                  88              94.711
                  89              96.125
                  89              97.054
                  91              98.853
                  91              99.196
